Window_ID,Status,Modulation,Confidence
6845,FREE,Noise/Hole,0.6422
6846,BUSY,QAM64,0.8177
6847,FREE,Noise/Hole,0.7408
6848,BUSY,QAM64,0.7728
6849,BUSY,QAM64,0.7909
6850,BUSY,QAM64,0.7857
6851,FREE,Noise/Hole,0.734
6852,BUSY,QAM64,0.8235
6853,FREE,Noise/Hole,0.706
6854,FREE,Noise/Hole,0.7476
6855,BUSY,QAM64,0.8023
6856,BUSY,QAM64,0.9152
6857,BUSY,QAM64,0.8459
6858,BUSY,QAM64,0.8327
6859,BUSY,QAM64,0.7689
6860,BUSY,QAM64,0.8638
6861,BUSY,QAM64,0.7621
6862,BUSY,QAM64,0.7892
6863,BUSY,QAM64,0.7652
6864,BUSY,QAM64,0.7754
6865,BUSY,QAM64,0.7726
6866,FREE,Noise/Hole,0.7297
6867,BUSY,QAM64,0.805
6868,BUSY,QAM64,0.7937
6869,BUSY,QAM64,0.7714
6870,BUSY,QAM64,0.9371
6871,FREE,Noise/Hole,0.7214
6872,BUSY,QAM64,0.7564
6873,BUSY,QAM64,0.9036
6874,FREE,Noise/Hole,0.7376
6875,FREE,Noise/Hole,0.7493
6876,BUSY,QAM64,0.798
6877,BUSY,QAM64,0.8464
6878,BUSY,QAM64,0.8107
6879,BUSY,QAM64,0.7542
6880,BUSY,QAM64,0.7645
6881,FREE,Noise/Hole,0.7436
6882,BUSY,QAM64,0.8023
6883,BUSY,QAM64,0.7512
6884,BUSY,QAM64,0.7769
6885,FREE,Noise/Hole,0.7088
6886,BUSY,QAM64,0.8667
6887,BUSY,QAM64,0.7661
6888,BUSY,QAM64,0.8433
6889,BUSY,QAM64,0.8135
6890,FREE,Noise/Hole,0.6283
6891,FREE,Noise/Hole,0.7004
6892,FREE,Noise/Hole,0.7009
6893,FREE,Noise/Hole,0.7233
6894,BUSY,QAM64,0.9075
6895,BUSY,QAM64,0.7777
6896,BUSY,QAM64,0.8298
6897,BUSY,QAM64,0.7719
6898,FREE,Noise/Hole,0.7496
6899,BUSY,QAM64,0.8199
6900,BUSY,QAM64,0.7694
6901,BUSY,QAM64,0.7957
6902,BUSY,QAM64,0.8437
6903,BUSY,QAM64,0.7617
6904,FREE,Noise/Hole,0.729
6905,BUSY,QAM64,0.7998
6906,BUSY,QAM64,0.8121
6907,BUSY,QAM64,0.8469
6908,BUSY,QAM64,0.8395
6909,FREE,Noise/Hole,0.7155
6910,BUSY,QAM64,0.7667
6911,BUSY,QAM64,0.8333
6912,BUSY,QAM64,0.7926
6913,BUSY,QAM64,0.8026
6914,FREE,Noise/Hole,0.6991
6915,BUSY,QAM64,0.7635
6916,BUSY,QAM64,0.7737
6917,BUSY,QAM64,0.8442
6918,FREE,Noise/Hole,0.7029
6919,BUSY,QAM64,0.7548
6920,BUSY,QAM64,0.7672
6921,BUSY,QAM64,0.8548
6922,BUSY,QAM64,0.8555
6923,FREE,Noise/Hole,0.7165
6924,FREE,Noise/Hole,0.7368
6925,FREE,Noise/Hole,0.6813
6926,BUSY,QAM64,0.8012
6927,FREE,Noise/Hole,0.6933
6928,FREE,Noise/Hole,0.7373
6929,BUSY,QAM64,0.7584
6930,BUSY,QAM64,0.8706
6931,BUSY,QAM64,0.8796
6932,BUSY,QAM64,0.8041
6933,BUSY,QAM64,0.8667
6934,FREE,Noise/Hole,0.6542
6935,BUSY,QAM64,0.9231
6936,BUSY,QAM64,0.7648
6937,FREE,Noise/Hole,0.7376
6938,FREE,Noise/Hole,0.7483
6939,FREE,Noise/Hole,0.7064
6940,BUSY,QAM64,0.7778
6941,FREE,Noise/Hole,0.7426
6942,BUSY,QAM64,0.8212
6943,BUSY,QAM64,0.8691
6944,BUSY,QAM64,0.7682
6945,BUSY,QAM64,0.7993
6946,BUSY,QAM64,0.766
6947,FREE,Noise/Hole,0.7221
6948,BUSY,QAM64,0.7627
6949,FREE,Noise/Hole,0.7113
6950,BUSY,QAM64,0.8004
6951,FREE,Noise/Hole,0.7357
6952,BUSY,QAM64,0.8655
6953,FREE,Noise/Hole,0.737
6954,BUSY,QAM64,0.8151
6955,FREE,Noise/Hole,0.7489
6956,BUSY,QAM64,0.8017
6957,BUSY,QAM64,0.7624
6958,BUSY,QAM64,0.7975
6959,FREE,Noise/Hole,0.6932
6960,FREE,Noise/Hole,0.7227
6961,FREE,Noise/Hole,0.7327
6962,BUSY,QAM64,0.8488
6963,BUSY,QAM64,0.8516
6964,BUSY,QAM64,0.7974
6965,BUSY,QAM64,0.8872
6966,BUSY,QAM64,0.8629
6967,FREE,Noise/Hole,0.7397
6968,FREE,Noise/Hole,0.7044
6969,FREE,Noise/Hole,0.7123
6970,BUSY,QAM64,0.7945
6971,BUSY,QAM64,0.8007
6972,BUSY,QAM64,0.786
6973,BUSY,QAM64,0.7514
6974,BUSY,QAM64,0.8375
6975,BUSY,QAM64,0.8439
6976,BUSY,QAM64,0.7748
6977,BUSY,QAM64,0.8598
6978,BUSY,QAM64,0.7744
6979,BUSY,QAM64,0.8213
6980,FREE,Noise/Hole,0.713
6981,BUSY,QAM64,0.9454
6982,BUSY,QAM64,0.7816
6983,BUSY,QAM64,0.8269
6984,FREE,Noise/Hole,0.747
6985,BUSY,QAM64,0.8052
6986,BUSY,QAM64,0.875
6987,BUSY,QAM64,0.8435
6988,FREE,Noise/Hole,0.7484
6989,FREE,Noise/Hole,0.7241
6990,FREE,Noise/Hole,0.7378
6991,FREE,Noise/Hole,0.6354
6992,BUSY,QAM64,0.7544
6993,BUSY,QAM64,0.8777
6994,FREE,Noise/Hole,0.737
6995,BUSY,QAM64,0.7507
6996,BUSY,QAM64,0.8103
6997,BUSY,QAM64,0.806
6998,BUSY,QAM64,0.8538
6999,FREE,Noise/Hole,0.7333
7000,FREE,Noise/Hole,0.6707
7001,BUSY,QAM64,0.7907
7002,FREE,Noise/Hole,0.7196
7003,FREE,Noise/Hole,0.7
7004,BUSY,QAM64,0.8581
7005,BUSY,QAM64,0.7763
7006,FREE,Noise/Hole,0.7269
7007,BUSY,QAM64,0.9362
7008,BUSY,QAM64,0.7769
7009,BUSY,QAM64,0.8513
7010,BUSY,QAM64,0.8602
7011,BUSY,QAM64,0.8004
7012,BUSY,QAM64,0.7676
7013,BUSY,QAM64,0.8487
7014,FREE,Noise/Hole,0.7399
7015,BUSY,QAM64,0.7882
7016,FREE,Noise/Hole,0.7288
7017,BUSY,QAM64,0.7906
7018,BUSY,QAM64,0.8178
7019,BUSY,QAM64,0.7587
7020,BUSY,QAM64,0.9291
7021,BUSY,QAM64,0.8218
7022,BUSY,QAM64,0.8927
7023,BUSY,QAM64,0.7742
7024,BUSY,QAM64,0.7982
7025,BUSY,QAM64,0.7557
7026,FREE,Noise/Hole,0.7435
7027,FREE,Noise/Hole,0.7084
7028,BUSY,QAM64,0.772
7029,FREE,Noise/Hole,0.6619
7030,FREE,Noise/Hole,0.6833
7031,FREE,Noise/Hole,0.7476
7032,FREE,Noise/Hole,0.7244
7033,FREE,Noise/Hole,0.7217
7034,FREE,Noise/Hole,0.6881
7035,BUSY,QAM64,0.8084
7036,BUSY,QAM64,0.8215
7037,BUSY,QAM64,0.8837
7038,FREE,Noise/Hole,0.6782
7039,FREE,Noise/Hole,0.7234
7040,FREE,Noise/Hole,0.7186
7041,BUSY,QAM64,0.8476
7042,BUSY,QAM64,0.8879
7043,FREE,Noise/Hole,0.7414
7044,BUSY,QAM64,0.8146
7045,BUSY,QAM64,0.7599
7046,BUSY,QAM64,0.7692
7047,BUSY,QAM64,0.8088
7048,BUSY,QAM64,0.8018
7049,FREE,Noise/Hole,0.7306
7050,BUSY,QAM64,0.8062
7051,BUSY,QAM64,0.8492
7052,BUSY,QAM64,0.8305
7053,BUSY,QAM64,0.7612
7054,FREE,Noise/Hole,0.7479
7055,BUSY,QAM64,0.9216
7056,FREE,Noise/Hole,0.693
7057,FREE,Noise/Hole,0.7129
7058,BUSY,QAM64,0.7644
7059,BUSY,QAM64,0.7901
7060,FREE,Noise/Hole,0.687
7061,BUSY,QAM64,0.7924
7062,FREE,Noise/Hole,0.7314
7063,BUSY,QAM64,0.7755
7064,FREE,Noise/Hole,0.731
7065,BUSY,QAM64,0.7684
7066,BUSY,QAM64,0.7835
7067,FREE,Noise/Hole,0.7156
7068,FREE,Noise/Hole,0.6846
7069,FREE,Noise/Hole,0.7137
7070,BUSY,QAM64,0.8384
7071,BUSY,QAM64,0.8544
7072,FREE,Noise/Hole,0.7492
7073,FREE,Noise/Hole,0.6645
7074,BUSY,QAM64,0.8376
7075,FREE,Noise/Hole,0.7214
7076,BUSY,QAM64,0.8361
7077,BUSY,QAM64,0.889
7078,FREE,Noise/Hole,0.7161
7079,FREE,Noise/Hole,0.7109
7080,FREE,Noise/Hole,0.6959
7081,FREE,Noise/Hole,0.7082
7082,BUSY,QAM64,0.7703
7083,BUSY,QAM64,0.7673
7084,BUSY,QAM64,0.7697
7085,FREE,Noise/Hole,0.6945
7086,FREE,Noise/Hole,0.7391
7087,FREE,Noise/Hole,0.6912
7088,BUSY,QAM64,0.7681
7089,BUSY,QAM64,0.7798
7090,FREE,Noise/Hole,0.6719
7091,FREE,Noise/Hole,0.6877
7092,BUSY,QAM64,0.8263
7093,BUSY,QAM64,0.76
7094,BUSY,QAM64,0.7745
7095,BUSY,QAM64,0.9409
7096,BUSY,QAM64,0.7812
7097,BUSY,QAM64,0.8263
7098,BUSY,QAM64,0.7509
7099,FREE,Noise/Hole,0.6714
7100,FREE,Noise/Hole,0.6691
7101,BUSY,QAM64,0.8188
7102,FREE,Noise/Hole,0.7173
7103,BUSY,QAM64,0.8043
7104,BUSY,QAM64,0.7636
7105,BUSY,QAM64,0.8361
7106,BUSY,QAM64,0.7693
7107,BUSY,QAM64,0.7508
7108,BUSY,QAM64,0.8045
7109,BUSY,QAM64,0.8164
7110,BUSY,QAM64,0.7503
7111,BUSY,QAM64,0.839
7112,BUSY,QAM64,0.8174
7113,FREE,Noise/Hole,0.6969
7114,BUSY,QAM64,0.7562
7115,BUSY,QAM64,0.7936
7116,BUSY,QAM64,0.8099
7117,BUSY,QAM64,0.8723
7118,BUSY,QAM64,0.8138
7119,BUSY,QAM64,0.8411
7120,FREE,Noise/Hole,0.7477
7121,FREE,Noise/Hole,0.6827
7122,BUSY,QAM64,0.8224
7123,BUSY,QAM64,0.8458
7124,BUSY,QAM64,0.8195
7125,FREE,Noise/Hole,0.713
7126,BUSY,QAM64,0.8237
7127,BUSY,QAM64,0.7639
7128,BUSY,QAM64,0.7879
7129,FREE,Noise/Hole,0.7236
7130,BUSY,QAM64,0.7757
7131,BUSY,QAM64,0.769
7132,FREE,Noise/Hole,0.6638
7133,FREE,Noise/Hole,0.713
7134,BUSY,QAM64,0.7563
7135,BUSY,QAM64,0.8615
7136,BUSY,QAM64,0.7986
7137,BUSY,QAM64,0.7774
7138,BUSY,QAM64,0.8928
7139,BUSY,QAM64,0.8303
7140,FREE,Noise/Hole,0.695
7141,BUSY,QAM64,0.7584
7142,FREE,Noise/Hole,0.6519
7143,BUSY,QAM64,0.8132
7144,FREE,Noise/Hole,0.7118
7145,BUSY,QAM64,0.786
7146,BUSY,QAM64,0.8094
7147,BUSY,QAM64,0.7973
7148,FREE,Noise/Hole,0.7359
7149,BUSY,QAM64,0.7547
7150,BUSY,QAM64,0.8764
7151,FREE,Noise/Hole,0.7434
7152,BUSY,QAM64,0.9325
7153,BUSY,QAM64,0.7909
7154,FREE,Noise/Hole,0.7366
7155,BUSY,QAM64,0.8842
7156,BUSY,QAM64,0.7782
7157,FREE,Noise/Hole,0.7436
7158,FREE,Noise/Hole,0.7248
7159,FREE,Noise/Hole,0.7386
7160,BUSY,QAM64,0.7804
7161,BUSY,QAM64,0.7623
7162,BUSY,QAM64,0.8387
7163,FREE,Noise/Hole,0.6591
7164,FREE,Noise/Hole,0.7336
7165,BUSY,QAM64,0.9744
7166,FREE,Noise/Hole,0.7309
7167,BUSY,QAM64,0.7976
7168,BUSY,QAM64,0.7973
7169,FREE,Noise/Hole,0.7371
7170,BUSY,QAM64,0.7712
7171,BUSY,QAM64,0.7624
7172,BUSY,QAM64,0.7517
7173,BUSY,QAM64,0.8515
7174,BUSY,QAM64,0.8794
7175,BUSY,QAM64,0.8638
7176,FREE,Noise/Hole,0.7192
7177,BUSY,QAM64,0.7917
7178,BUSY,QAM64,0.7742
7179,FREE,Noise/Hole,0.7101
7180,FREE,Noise/Hole,0.6908
7181,BUSY,QAM64,0.8309
7182,FREE,Noise/Hole,0.6547
7183,FREE,Noise/Hole,0.7139
7184,BUSY,QAM64,0.8217
7185,BUSY,QAM64,0.7829
7186,FREE,Noise/Hole,0.7208
7187,FREE,Noise/Hole,0.7363
7188,FREE,Noise/Hole,0.7419
7189,FREE,Noise/Hole,0.7178
7190,BUSY,QAM64,0.8376
7191,FREE,Noise/Hole,0.747
7192,BUSY,QAM64,0.7862
7193,BUSY,QAM64,0.7908
7194,FREE,Noise/Hole,0.6872
7195,BUSY,QAM64,0.8326
7196,BUSY,QAM64,0.8213
7197,FREE,Noise/Hole,0.7493
7198,BUSY,QAM64,0.8732
7199,FREE,Noise/Hole,0.6895
7200,FREE,Noise/Hole,0.7004
7201,BUSY,QAM64,0.8435
7202,BUSY,QAM64,0.7592
7203,FREE,Noise/Hole,0.6827
7204,BUSY,QAM64,0.7894
7205,FREE,Noise/Hole,0.7442
7206,BUSY,QAM64,0.8559
7207,BUSY,QAM64,0.8401
7208,BUSY,QAM64,0.791
7209,BUSY,QAM64,0.92
7210,BUSY,QAM64,0.8064
7211,BUSY,QAM64,0.8312
7212,BUSY,QAM64,0.7511
7213,BUSY,QAM64,0.7533
7214,BUSY,QAM64,0.7605
7215,BUSY,QAM64,0.7933
7216,BUSY,QAM64,0.7776
7217,BUSY,QAM64,0.8379
7218,BUSY,QAM64,0.8452
7219,FREE,Noise/Hole,0.7359
7220,BUSY,QAM64,0.7867
7221,BUSY,QAM64,0.8343
7222,FREE,Noise/Hole,0.6902
7223,BUSY,QAM64,0.8002
7224,FREE,Noise/Hole,0.7193
7225,BUSY,QAM64,0.7914
7226,FREE,Noise/Hole,0.7365
7227,BUSY,QAM64,0.8375
7228,BUSY,QAM64,0.7804
7229,BUSY,QAM64,0.8318
7230,BUSY,QAM64,0.918
7231,FREE,Noise/Hole,0.7062
7232,BUSY,QAM64,0.7583
7233,FREE,Noise/Hole,0.6944
7234,BUSY,QAM64,0.8205
7235,BUSY,QAM64,0.7633
7236,BUSY,QAM64,0.826
7237,FREE,Noise/Hole,0.7375
7238,BUSY,QAM64,0.8583
7239,BUSY,QAM64,0.8324
7240,BUSY,QAM64,0.863
7241,BUSY,QAM64,0.8073
7242,BUSY,QAM64,0.8319
7243,FREE,Noise/Hole,0.6971
7244,FREE,Noise/Hole,0.724
7245,BUSY,QAM64,0.8651
7246,FREE,Noise/Hole,0.7449
7247,FREE,Noise/Hole,0.6856
7248,BUSY,QAM64,0.7781
7249,BUSY,QAM64,0.8227
7250,FREE,Noise/Hole,0.7081
7251,BUSY,QAM64,0.8057
7252,BUSY,QAM64,0.7671
7253,BUSY,QAM64,0.8096
7254,FREE,Noise/Hole,0.7053
7255,FREE,Noise/Hole,0.7126
7256,BUSY,QAM64,0.8168
7257,FREE,Noise/Hole,0.7004
7258,BUSY,QAM64,0.7909
7259,BUSY,QAM64,0.7926
7260,FREE,Noise/Hole,0.7196
7261,BUSY,QAM64,0.897
7262,BUSY,QAM64,0.767
7263,BUSY,QAM64,0.7761
7264,BUSY,QAM64,0.7632
7265,FREE,Noise/Hole,0.6696
